,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
23,coder_487,A bot helping coders and designers by showcasing their creation and progress.,,0,297,38941,12,"https://t.co/cq65sAFDHC

#PPOM #Fancy #Cropper allows customers to #upload images and crop before sending to the #cart #Admin can set #options
#javascript #100DaysOfCode #webdevelopment #CodeNewbie #codinglife #Coding #programming #programmer  #flutter #FullStack #DEVCommunity https://t.co/DhK8xS8s2M","['PPOM', 'Fancy', 'Cropper', 'upload', 'cart', 'Admin']"
24,the404code,I'm a bot. Follow me to get updates on the latest tech blogs and tech trends #the404code | Creator: @nitinmanocha16,,3,484,24425,9,"From #devops to #mlops

#DataScientist #ArtificialIntelligence #5G #analytics #MachineLearning #BigData #IoT #RStats #JavaScript #CloudComputing #Serverless #technology #engineering #Programming #Coding #robotics #100DaysofCode #selfdrivingcars #cybersecurity #CodeNewbies #Linux https://t.co/GLq4Uw9zJi","['devops', 'mlops', 'DataScientist', 'ArtificialIntelligence', '5G', 'analytics', 'MachineLearning', 'BigData', 'IoT', 'RStats']"
25,_codenewbiebot,Beep boop. I am a bot created by https://t.co/i0ytpsE5Sj to support code newbies.,,9,851,88377,10,"Day 16 of #100DaysOfSwiftUI ✅
The first of the first project in the course! Finally I can attach my Xcode screenshot instead of a random image from internet 🤠 Theory only today, real development and implementation starts tomorrow 🥳

@SwiftLang
#100DaysOfCode #Swift #SwiftUI https://t.co/PUCQMhO86D",['100DaysOfSwiftUI']
26,Vi77P,Dad | Husband | Full Stack Developer | Xbox Gamer | Geek | Gadget addict | #fullstack #dotnetcore #aspnetcore  #programming #XboxOneX,"North Holland, The Netherlands",815,138,386,10,"Day 16 of #100DaysOfSwiftUI ✅
The first of the first project in the course! Finally I can attach my Xcode screenshot instead of a random image from internet 🤠 Theory only today, real development and implementation starts tomorrow 🥳

@SwiftLang
#100DaysOfCode #Swift #SwiftUI https://t.co/PUCQMhO86D",['100DaysOfSwiftUI']
27,femtech_,"I'm a friendly bot retweeting female developers, engineers, scientists and their stories. #girlswhocode #womenintech  #womeninstem
Made by @frankanka","Berlin, Deutschland",2,16099,852484,41,"artificial intelligence,data science,machine and deep learning in python
--
Link :https://t.co/YiqJ7d80yM
--
#Python #Machinelearning #100DaysOfCode #IoT #100DaysOfMLCode #flutter #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity https://t.co/iD4C6hwFfm",['Python']
28,nlognbot,"Hi, I'm a bot that retweets #100daysofcode     
                 
P.S. I was created by @NlognHQ follow them.",Server,3,4442,365473,41,"artificial intelligence,data science,machine and deep learning in python
--
Link :https://t.co/YiqJ7d80yM
--
#Python #Machinelearning #100DaysOfCode #IoT #100DaysOfMLCode #flutter #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity https://t.co/iD4C6hwFfm",['Python']
29,Women_who_code,24 🧬 ~ Javascript ❤️ ~ Mern Stack Developer ~ Next JS 🦄 ~ @nytimes ~ Books 📚 + coffee ☕,bootcamp,25,809,104682,41,"artificial intelligence,data science,machine and deep learning in python
--
Link :https://t.co/YiqJ7d80yM
--
#Python #Machinelearning #100DaysOfCode #IoT #100DaysOfMLCode #flutter #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity https://t.co/iD4C6hwFfm",['Python']
30,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,9,"From #devops to #mlops

#DataScientist #ArtificialIntelligence #5G #analytics #MachineLearning #BigData #IoT #RStats #JavaScript #CloudComputing #Serverless #technology #engineering #Programming #Coding #robotics #100DaysofCode #selfdrivingcars #cybersecurity #CodeNewbies #Linux https://t.co/GLq4Uw9zJi","['devops', 'mlops', 'DataScientist', 'ArtificialIntelligence', '5G', 'analytics', 'MachineLearning', 'BigData', 'IoT', 'RStats']"
31,Cloud_CIO_,"CloudCIO a vendor agnostic, independent, Digital Transformation & IT Security consultancy.  Transforming Businesses Securely.","London, England",500,613,22078,41,"artificial intelligence,data science,machine and deep learning in python
--
Link :https://t.co/YiqJ7d80yM
--
#Python #Machinelearning #100DaysOfCode #IoT #100DaysOfMLCode #flutter #javascript #Serverless #womenwhocode #cybersecurity #RStats #CodeNewbie #DataScience #DEVCommunity https://t.co/iD4C6hwFfm",['Python']
32,techbot_01,Just a bot created to help developers written in #Python by @akm_nitrkl,,7,17,1183,10,"Day 16 of #100DaysOfSwiftUI ✅
The first of the first project in the course! Finally I can attach my Xcode screenshot instead of a random image from internet 🤠 Theory only today, real development and implementation starts tomorrow 🥳

@SwiftLang
#100DaysOfCode #Swift #SwiftUI https://t.co/PUCQMhO86D",['100DaysOfSwiftUI']
